Date,Open,High,Low,Close,AdjClose
"Jun 10, 2024","11,638.90","11,692.44","11,617.78","11,681.54","11,681.54"
"Jun 1, 2024","11,538.85","11,711.37","11,402.00","11,681.54","11,681.54"
"May 1, 2024","10,937.26","11,628.93","10,899.45","11,494.70","11,494.70"
"Apr 1, 2024","11,425.92","11,438.57","10,772.04","10,951.66","10,951.66"
"Mar 1, 2024","11,067.61","11,440.74","10,978.06","11,418.03","11,418.03"
"Feb 1, 2024","10,535.43","11,090.20","10,519.34","11,062.11","11,062.11"
"Jan 1, 2024","10,274.81","10,686.01","10,139.98","10,501.38","10,501.38"
"Dec 1, 2023","9,861.75","10,377.97","9,834.35","10,327.83","10,327.83"
"Nov 1, 2023","9,068.49","9,918.91","9,060.87","9,879.02","9,879.02"
"Oct 1, 2023","9,239.16","9,480.31","8,857.03","9,052.31","9,052.31"
"Sep 1, 2023","9,759.60","9,782.23","9,138.74","9,246.74","9,246.74"
"Aug 1, 2023","9,845.22","9,857.56","9,333.96","9,709.68","9,709.68"
"Jul 1, 2023","9,560.37","9,904.29","9,421.74","9,866.77","9,866.77"
"Jun 1, 2023","8,975.67","9,577.07","8,951.25","9,559.67","9,559.67"
"May 1, 2023","8,922.62","9,075.07","8,670.07","8,967.16","8,967.16"
"Apr 1, 2023","8,775.93","8,929.38","8,670.05","8,928.35","8,928.35"
"Mar 1, 2023","8,465.77","8,794.21","8,141.26","8,791.13","8,791.13"
"Feb 1, 2023","8,678.01","8,945.67","8,420.19","8,479.80","8,479.80"
"Jan 1, 2023","8,207.69","8,728.10","8,082.33","8,691.88","8,691.88"
"Dec 1, 2022","8,693.84","8,727.13","8,015.83","8,178.02","8,178.02"
"Nov 1, 2022","8,279.94","8,678.00","7,851.83","8,678.00","8,678.00"
"Oct 1, 2022","7,655.14","8,288.85","7,408.63","8,218.70","8,218.70"
"Sep 1, 2022","8,336.93","8,726.87","7,599.97","7,603.14","7,603.14"
"Aug 1, 2022","8,690.26","9,150.34","8,374.09","8,374.42","8,374.42"
"Jul 1, 2022","7,984.46","8,751.16","7,863.55","8,730.46","8,730.46"
"Jun 1, 2022","8,749.50","8,810.50","7,676.80","7,993.43","7,993.43"
"May 1, 2022","8,693.93","9,066.51","8,030.44","8,712.60","8,712.60"
"Apr 1, 2022","9,548.31","9,661.63","8,680.71","8,696.65","8,696.65"
"Mar 1, 2022","9,163.93","9,750.44","8,735.52","9,527.46","9,527.46"
"Feb 1, 2022","9,478.40","9,637.31","8,639.94","9,186.37","9,186.37"
"Jan 1, 2022","10,011.81","10,097.30","8,854.41","9,469.92","9,469.92"
"Dec 1, 2021","9,634.11","10,075.65","9,410.82","9,986.70","9,986.70"
"Nov 1, 2021","9,636.06","9,925.67","9,544.47","9,558.33","9,558.33"
"Oct 1, 2021","9,014.98","9,630.58","8,935.78","9,625.02","9,625.02"
"Sep 1, 2021","9,446.98","9,483.83","8,988.44","8,994.83","8,994.83"
"Aug 1, 2021","9,179.40","9,463.03","9,106.70","9,433.58","9,433.58"
"Jul 1, 2021","8,950.11","9,226.73","8,814.47","9,155.21","9,155.21"
"Jun 1, 2021","8,764.83","8,952.48","8,663.78","8,942.78","8,942.78"
"May 1, 2021","8,700.62","8,799.10","8,424.45","8,738.77","8,738.77"
"Apr 1, 2021","8,279.75","8,755.50","8,279.75","8,678.16","8,678.16"
"Mar 1, 2021","7,957.96","8,282.99","7,712.97","8,238.48","8,238.48"
"Feb 1, 2021","7,716.04","8,175.83","7,704.89","7,892.81","7,892.81"
"Jan 1, 2021","7,777.41","8,001.99","7,567.08","7,681.01","7,681.01"
"Dec 1, 2020","7,522.30","7,767.17","7,500.48","7,759.35","7,759.35"
"Nov 1, 2020","6,788.96","7,517.66","6,755.13","7,472.06","7,472.06"
"Oct 1, 2020","6,966.63","7,307.55","6,660.69","6,734.84","6,734.84"
"Sep 1, 2020","7,206.90","7,373.35","6,602.36","6,918.83","6,918.83"
"Aug 1, 2020","6,745.17","7,221.83","6,737.72","7,192.11","7,192.11"
"Jul 1, 2020","6,363.41","6,725.83","6,353.66","6,709.81","6,709.81"
"Jun 1, 2020","6,216.80","6,615.55","6,073.52","6,351.67","6,351.67"
"May 1, 2020","5,856.87","6,276.60","5,654.23","6,227.81","6,227.81"
"Apr 1, 2020","5,092.85","6,031.08","4,989.73","5,944.68","5,944.68"
"Mar 1, 2020","6,052.69","6,383.33","4,466.72","5,269.20","5,269.20"
"Feb 1, 2020","6,571.68","6,901.42","5,811.55","6,011.73","6,011.73"
"Jan 1, 2020","6,582.55","6,776.35","6,522.34","6,551.00","6,551.00"
"Dec 1, 2019","6,367.59","6,586.85","6,219.00","6,553.57","6,553.57"
"Nov 1, 2019","6,165.86","6,386.80","6,165.86","6,361.56","6,361.56"
"Oct 1, 2019","6,022.89","6,162.59","5,766.45","6,138.73","6,138.73"
"Sep 1, 2019","5,863.47","6,097.45","5,829.08","6,008.59","6,008.59"
"Aug 1, 2019","5,993.64","6,060.55","5,676.31","5,898.23","5,898.23"
"Jul 1, 2019","5,953.63","6,088.08","5,949.04","5,993.17","5,993.17"
"Jun 1, 2019","5,518.27","5,952.03","5,473.21","5,908.25","5,908.25"
"May 1, 2019","5,906.87","5,910.38","5,516.33","5,519.27","5,519.27"
"Apr 1, 2019","5,692.95","5,901.00","5,692.95","5,893.81","5,893.81"
"Mar 1, 2019","5,584.19","5,714.14","5,435.03","5,664.46","5,664.46"
"Feb 1, 2019","5,380.81","5,611.67","5,343.24","5,556.49","5,556.49"
"Jan 1, 2019","4,924.81","5,393.26","4,860.86","5,383.63","5,383.63"
"Dec 1, 2018","5,539.12","5,558.16","4,664.09","4,984.22","4,984.22"
"Nov 1, 2018","5,381.20","5,577.68","5,219.62","5,478.91","5,478.91"
"Oct 1, 2018","5,787.81","5,814.82","5,155.62","5,369.49","5,369.49"
"Sep 1, 2018","5,722.32","5,814.95","5,660.05","5,763.42","5,763.42"
"Aug 1, 2018","5,559.58","5,758.84","5,511.30","5,730.80","5,730.80"
"Jul 1, 2018","5,324.65","5,611.49","5,312.84","5,549.96","5,549.96"
"Jun 1, 2018","5,344.99","5,490.37","5,298.65","5,350.83","5,350.83"
"May 1, 2018","5,184.42","5,387.38","5,089.09","5,318.10","5,318.10"
"Apr 1, 2018","5,158.70","5,327.62","5,002.71","5,193.04","5,193.04"
"Mar 1, 2018","5,311.62","5,484.36","5,064.43","5,173.19","5,173.19"
"Feb 1, 2018","5,497.92","5,535.85","4,947.99","5,308.09","5,308.09"
"Jan 1, 2018","5,232.72","5,606.08","5,230.06","5,511.21","5,511.21"
"Dec 1, 2017","5,150.83","5,251.39","5,074.14","5,212.76","5,212.76"
"Nov 1, 2017","5,017.47","5,174.64","4,974.38","5,155.44","5,155.44"
"Oct 1, 2017","4,891.56","5,016.43","4,890.03","5,002.03","5,002.03"
"Sep 1, 2017","4,794.86","4,888.00","4,741.05","4,887.97","4,887.97"
"Aug 1, 2017","4,787.73","4,816.97","4,680.53","4,789.18","4,789.18"
"Jul 1, 2017","4,694.19","4,800.75","4,651.21","4,774.56","4,774.56"
"Jun 1, 2017","4,657.33","4,735.11","4,644.07","4,678.36","4,678.36"
"May 1, 2017","4,593.11","4,660.46","4,532.45","4,649.34","4,649.34"
"Apr 1, 2017","4,537.71","4,611.16","4,477.06","4,584.82","4,584.82"
"Mar 1, 2017","4,565.38","4,605.27","4,459.50","4,538.21","4,538.21"
"Feb 1, 2017","4,373.65","4,547.92","4,347.69","4,532.93","4,532.93"
"Jan 1, 2017","4,303.12","4,401.57","4,290.85","4,359.81","4,359.81"
"Dec 1, 2016","4,198.49","4,348.89","4,174.22","4,278.66","4,278.66"
"Nov 1, 2016","4,050.74","4,224.90","3,967.38","4,195.73","4,195.73"
"Oct 1, 2016","4,114.09","4,126.36","4,022.62","4,045.89","4,045.89"
"Sep 1, 2016","4,121.06","4,153.66","4,023.89","4,121.06","4,121.06"
"Aug 1, 2016","4,113.66","4,160.49","4,065.38","4,120.29","4,120.29"
"Jul 1, 2016","3,969.85","4,121.11","3,923.65","4,114.51","4,114.51"
"Jun 1, 2016","3,952.93","4,004.69","3,764.35","3,968.21","3,968.21"
"May 1, 2016","3,891.68","3,970.23","3,821.53","3,957.95","3,957.95"
"Apr 1, 2016","3,867.28","3,973.53","3,826.77","3,888.13","3,888.13"
"Mar 1, 2016","3,636.25","3,896.50","3,636.25","3,873.11","3,873.11"
"Feb 1, 2016","3,625.89","3,684.39","3,393.43","3,627.06","3,627.06"
"Jan 1, 2016","3,811.74","3,811.74","3,391.77","3,631.96","3,631.96"
"Dec 1, 2015","3,887.86","3,928.49","3,723.72","3,821.60","3,821.60"
"Nov 1, 2015","3,873.94","3,940.51","3,765.58","3,882.84","3,882.84"
"Oct 1, 2015","3,569.72","3,899.13","3,522.15","3,871.33","3,871.33"
"Sep 1, 2015","3,657.04","3,755.47","3,480.54","3,570.17","3,570.17"
"Aug 1, 2015","3,897.01","3,913.73","3,464.03","3,660.75","3,660.75"
"Jul 1, 2015","3,823.98","3,947.73","3,781.63","3,895.80","3,895.80"
"Jun 1, 2015","3,893.88","3,937.37","3,803.31","3,815.85","3,815.85"
"May 1, 2015","3,845.23","3,939.46","3,811.27","3,891.18","3,891.18"
"Apr 1, 2015","3,805.27","3,915.37","3,769.88","3,841.78","3,841.78"
"Mar 1, 2015","3,867.98","3,890.52","3,750.29","3,805.27","3,805.27"
"Feb 1, 2015","3,659.45","3,893.44","3,630.70","3,866.42","3,866.42"
"Jan 1, 2015","3,776.49","3,794.52","3,642.50","3,656.28","3,656.28"
"Dec 1, 2014","3,775.87","3,832.37","3,608.74","3,769.44","3,769.44"
"Nov 1, 2014","3,680.31","3,792.15","3,648.97","3,778.96","3,778.96"
"Oct 1, 2014","3,591.02","3,680.22","3,319.83","3,679.99","3,679.99"
"Sep 1, 2014","3,644.77","3,676.16","3,577.03","3,592.25","3,592.25"
"Aug 1, 2014","3,501.61","3,644.83","3,458.44","3,643.33","3,643.33"
"Jul 1, 2014","3,556.56","3,612.27","3,503.19","3,503.19","3,503.19"
"Jun 1, 2014","3,481.15","3,565.48","3,466.99","3,552.18","3,552.18"
"May 1, 2014","3,401.48","3,481.10","3,358.88","3,480.29","3,480.29"
"Apr 1, 2014","3,378.66","3,421.23","3,273.74","3,400.46","3,400.46"
"Mar 1, 2014","3,344.36","3,395.00","3,302.57","3,375.51","3,375.51"
"Feb 1, 2014","3,201.12","3,362.62","3,121.85","3,347.38","3,347.38"
"Jan 1, 2014","3,311.58","3,321.89","3,179.25","3,200.95","3,200.95"
"Dec 1, 2013","3,235.18","3,317.24","3,169.13","3,315.59","3,315.59"
"Nov 1, 2013","3,141.95","3,247.56","3,122.47","3,233.72","3,233.72"
"Oct 1, 2013","3,001.92","3,171.20","2,939.67","3,138.09","3,138.09"
"Sep 1, 2013","2,914.42","3,085.02","2,909.90","3,000.18","3,000.18"
"Aug 1, 2013","3,002.58","3,038.63","2,898.57","2,908.96","2,908.96"
"Jul 1, 2013","2,856.88","3,018.26","2,848.61","2,995.72","2,995.72"
"Jun 1, 2013","2,891.18","2,933.99","2,768.16","2,850.66","2,850.66"
"May 1, 2013","2,823.43","2,987.60","2,794.64","2,889.46","2,889.46"
"Apr 1, 2013","2,770.06","2,823.42","2,714.23","2,823.42","2,823.42"
"Mar 1, 2013","2,669.92","2,771.93","2,646.73","2,770.05","2,770.05"
"Feb 1, 2013","2,634.16","2,696.26","2,616.67","2,669.92","2,669.92"
"Jan 1, 2013","2,504.45","2,654.12","2,504.45","2,634.16","2,634.16"
"Dec 1, 2012","2,481.82","2,540.69","2,450.78","2,504.44","2,504.44"
"Nov 1, 2012","2,467.51","2,506.34","2,351.85","2,481.82","2,481.82"
"Oct 1, 2012","2,514.32","2,567.68","2,451.70","2,467.51","2,467.51"
"Sep 1, 2012","2,450.54","2,571.34","2,433.29","2,513.93","2,513.93"
"Aug 1, 2012","2,396.61","2,483.87","2,354.13","2,450.60","2,450.60"
"Jul 1, 2012","2,364.09","2,418.09","2,301.93","2,396.62","2,396.62"
"Jun 1, 2012","2,270.25","2,364.47","2,194.89","2,363.79","2,363.79"
"May 1, 2012","2,415.41","2,445.48","2,236.73","2,270.25","2,270.25"
"Apr 1, 2012","2,430.68","2,454.63","2,344.16","2,415.42","2,415.42"
"Mar 1, 2012","2,353.23","2,448.16","2,309.51","2,430.67","2,430.67"
"Feb 1, 2012","2,255.76","2,374.11","2,255.76","2,353.23","2,353.23"
"Jan 1, 2012","2,158.93","2,291.58","2,158.93","2,255.69","2,255.69"
"Dec 1, 2011","2,137.08","2,178.43","2,062.53","2,158.94","2,158.94"
"Nov 1, 2011","2,137.88","2,184.08","1,984.18","2,137.08","2,137.08"
"Oct 1, 2011","1,930.43","2,208.88","1,834.21","2,141.81","2,141.81"
"Sep 1, 2011","2,077.16","2,094.49","1,900.57","1,930.79","1,930.79"
"Aug 1, 2011","2,196.60","2,221.74","1,901.05","2,076.78","2,076.78"
"Jul 1, 2011","2,241.66","2,303.73","2,180.07","2,196.08","2,196.08"
"Jun 1, 2011","2,279.66","2,279.66","2,133.97","2,241.66","2,241.66"
"May 1, 2011","2,305.76","2,317.55","2,221.91","2,279.66","2,279.66"
"Apr 1, 2011","2,239.45","2,307.32","2,188.47","2,305.76","2,305.76"
"Mar 1, 2011","2,239.12","2,249.17","2,121.94","2,239.44","2,239.44"
"Feb 1, 2011","2,165.77","2,265.63","2,165.77","2,238.55","2,238.55"
"Jan 1, 2011","2,115.97","2,192.14","2,115.97","2,164.40","2,164.40"
"Dec 1, 2010","1,986.35","2,122.19","1,986.35","2,114.29","2,114.29"
"Nov 1, 2010","1,983.55","2,055.75","1,966.82","1,981.84","1,981.84"
"Oct 1, 2010","1,911.10","2,002.58","1,893.19","1,981.59","1,981.59"
"Sep 1, 2010","1,754.86","1,935.22","1,754.86","1,908.95","1,908.95"
"Aug 1, 2010","1,837.69","1,882.44","1,735.57","1,752.55","1,752.55"
"Jul 1, 2010","1,715.23","1,867.28","1,682.21","1,835.40","1,835.40"
"Jun 1, 2010","1,810.01","1,881.42","1,711.18","1,715.23","1,715.23"
"May 1, 2010","1,967.51","1,997.66","1,727.90","1,809.98","1,809.98"
"Apr 1, 2010","1,938.08","2,021.41","1,938.08","1,967.05","1,967.05"
"Mar 1, 2010","1,826.27","1,954.53","1,826.27","1,936.48","1,936.48"
"Feb 1, 2010","1,796.67","1,838.41","1,723.46","1,826.27","1,826.27"
"Jan 1, 2010","1,867.06","1,896.98","1,767.25","1,771.40","1,771.40"
"Dec 1, 2009","1,803.10","1,862.19","1,787.73","1,837.50","1,837.50"
"Nov 1, 2009","1,700.72","1,830.14","1,689.49","1,802.68","1,802.68"
"Oct 1, 2009","1,732.68","1,807.08","1,672.05","1,700.67","1,700.67"
"Sep 1, 2009","1,670.59","1,770.02","1,624.21","1,732.86","1,732.86"
"Aug 1, 2009","1,612.32","1,701.34","1,600.12","1,670.52","1,670.52"
"Jul 1, 2009","1,499.11","1,627.33","1,418.50","1,612.31","1,612.31"
"Jun 1, 2009","1,495.97","1,557.85","1,448.77","1,498.94","1,498.94"
"May 1, 2009","1,416.75","1,510.80","1,405.77","1,495.97","1,495.97"
"Apr 1, 2009","1,293.23","1,442.29","1,270.18","1,416.73","1,416.73"
"Mar 1, 2009","1,133.43","1,349.37","1,095.04","1,292.98","1,292.98"
"Feb 1, 2009","1,329.81","1,403.19","1,188.84","1,188.84","1,188.84"
"Jan 1, 2009","1,499.17","1,503.87","1,296.63","1,330.51","1,330.51"
"Dec 1, 2008","1,309.39","1,466.87","1,309.39","1,452.98","1,452.98"
"Nov 1, 2008","1,544.91","1,608.00","1,206.04","1,437.68","1,437.68"
"Oct 1, 2008","1,853.26","1,853.26","1,356.78","1,548.81","1,548.81"
"Sep 1, 2008","2,035.24","2,035.24","1,765.72","1,861.44","1,861.44"
"Aug 1, 2008","2,003.16","2,076.59","1,985.23","2,043.53","2,043.53"
"Jul 1, 2008","2,039.66","2,040.81","1,929.85","2,014.39","2,014.39"
"Jun 1, 2008","2,195.27","2,225.74","2,028.89","2,031.47","2,031.47"
"May 1, 2008","2,228.09","2,258.74","2,179.05","2,218.50","2,218.50"
"Apr 1, 2008","2,163.38","2,209.25","2,098.92","2,190.13","2,190.13"
"Mar 1, 2008","2,098.64","2,135.54","2,008.71","2,088.42","2,088.42"
"Feb 1, 2008","2,194.43","2,194.43","2,087.05","2,097.48","2,097.48"
"Jan 1, 2008","2,273.41","2,273.41","2,060.15","2,167.90","2,167.90"
"Dec 1, 2007","2,308.74","2,378.60","2,269.24","2,306.23","2,306.23"
"Nov 1, 2007","2,360.21","2,379.05","2,205.49","2,322.34","2,322.34"
"Oct 1, 2007","2,417.44","2,447.03","2,346.78","2,423.67","2,423.67"
