Period,Year,Quarter,SP500 Price,SP500 Units,Reinvestment Value,Interest Accrued,Interest Paid,Interest Deficit,Cumulative Deficit,Annuity Paid,On Holiday,Funder Earned
0,1,1,100.0,9680.0,968000.0,32000.0,32000.0,0.0,0.0,7500.0,false,32000.0
1,1,2,112.94,9680.0,1093244.33,32000.0,0.0,32000.0,32000.0,7500.0,true,0.0
2,1,3,109.97,9680.0,1064485.2,32000.0,0.0,32000.0,64000.0,7500.0,true,0.0
3,1,4,121.79,9680.0,1178879.67,32000.0,0.0,32000.0,96000.0,7500.0,true,0.0
4,2,1,140.21,9680.0,1357228.04,32000.0,0.0,32000.0,128000.0,7500.0,true,0.0
5,2,2,140.47,9680.0,1359752.14,32000.0,0.0,32000.0,160000.0,7500.0,true,0.0
6,2,3,176.24,9680.0,1706002.57,32000.0,0.0,32000.0,192000.0,7500.0,true,0.0
7,2,4,182.01,9680.0,1761848.65,32000.0,0.0,32000.0,224000.0,7500.0,true,0.0
8,3,1,196.74,9680.0,1904455.85,32000.0,0.0,32000.0,256000.0,7500.0,true,0.0
9,3,2,179.32,9680.0,1735776.24,32000.0,0.0,32000.0,288000.0,7500.0,true,0.0
10,3,3,178.72,9680.0,1730003.46,32000.0,0.0,32000.0,320000.0,7500.0,true,0.0
11,3,4,191.51,9680.0,1853832.51,32000.0,0.0,32000.0,352000.0,7500.0,true,0.0
12,4,1,180.9,9680.0,1751122.93,32000.0,0.0,32000.0,384000.0,7500.0,true,0.0
13,4,2,188.69,9680.0,1826538.28,32000.0,0.0,32000.0,416000.0,7500.0,true,0.0
14,4,3,168.61,9680.0,1632145.97,32000.0,0.0,32000.0,448000.0,7500.0,true,0.0
15,4,4,185.43,9680.0,1794916.57,32000.0,0.0,32000.0,480000.0,7500.0,true,0.0
16,5,1,196.38,9680.0,1900992.05,32000.0,0.0,32000.0,512000.0,7500.0,true,0.0
17,5,2,236.99,9680.0,2294020.52,32000.0,0.0,32000.0,544000.0,7500.0,true,0.0
18,5,3,243.88,9548.7881,2328761.54,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
19,5,4,273.9,9431.9592,2583458.27,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
20,6,1,263.37,9310.4585,2452123.41,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
21,6,2,230.76,9171.7858,2116474.54,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
22,6,3,277.8,9056.5939,2515896.85,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
23,6,4,266.14,8936.3579,2378351.87,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
24,7,1,242.74,8804.5296,2137211.04,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
25,7,2,256.3,8679.6768,2224616.48,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
26,7,3,262.66,8557.8449,2247778.94,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
27,7,4,274.06,8441.0803,2313325.7,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
28,8,1,299.46,8334.2211,2495760.85,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
29,8,2,323.28,8235.2366,2662312.28,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
30,8,3,303.39,8129.7617,2466484.87,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
31,8,4,305.76,8025.1034,2453731.58,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
32,9,1,303.62,7919.7087,2404586.44,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
33,9,2,276.47,7803.9638,2157563.33,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
34,9,3,296.34,7695.9781,2280589.79,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
35,9,4,359.02,7606.8465,2731009.94,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
36,10,1,373.16,7521.0932,2806597.66,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
37,10,2,420.01,7444.9039,3126908.36,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
38,10,3,425.65,7369.7247,3136919.86,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
39,10,4,456.45,7299.6191,3331938.87,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
40,11,1,505.35,7236.2963,3656845.85,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
41,11,2,501.56,7172.4956,3597447.39,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
42,11,3,567.96,7116.1538,4041706.9,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
43,11,4,550.85,7058.0615,3887917.88,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
44,12,1,541.51,6998.9675,3790008.24,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
45,12,2,533.68,6939.006,3703182.03,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
46,12,3,526.35,6878.2103,3620367.73,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
47,12,4,510.88,6815.5733,3481941.34,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
48,13,1,494.55,6750.8678,3338627.53,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
49,13,2,468.01,6682.4926,3127447.53,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
50,13,3,560.24,6625.3738,3711771.5,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
51,13,4,503.09,6561.7665,3301140.72,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
52,14,1,458.7,6492.0038,2977867.03,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
53,14,2,468.76,6423.7393,3011221.56,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
54,14,3,480.66,6357.1637,3055615.12,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
55,14,4,550.46,6299.0305,3467360.73,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
56,15,1,598.73,6245.5836,3739390.25,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
57,15,2,618.06,6193.8091,3828172.49,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
58,15,3,663.61,6145.5881,4078284.52,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
59,15,4,691.25,6099.2952,4216144.57,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
60,16,1,682.25,6052.3915,4129233.71,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
61,16,2,724.82,6008.2425,4354884.34,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
62,16,3,808.3,5968.6533,4824476.89,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
63,16,4,735.69,5925.1569,4359097.75,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
64,17,1,774.99,5883.8659,4559915.01,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
65,17,2,625.48,5832.7052,3648239.55,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
66,17,3,650.26,5783.4938,3760756.55,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
67,17,4,612.85,5731.2786,3512401.07,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
68,18,1,619.1,5679.5905,3516222.85,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
69,18,2,616.98,5627.7245,3472166.79,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
70,18,3,700.22,5582.0248,3908664.8,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
71,18,4,715.32,5537.2896,3960932.64,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
72,19,1,710.83,5492.2717,3904062.02,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
73,19,2,815.4,5453.0271,4446388.92,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
74,19,3,773.27,5411.6442,4184647.96,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
75,19,4,764.7,5369.7977,4106281.21,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
76,20,1,783.05,5328.9321,4172841.22,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
77,20,2,690.67,5282.6006,3648560.15,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
78,20,3,706.18,5237.2863,3698459.37,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
79,20,4,725.1,5193.1543,3765547.5,32000.0,32000.0,0.0,544000.0,7500.0,false,32000.0
